hidden,ethnie,proportion,proportion_correct_cau,proportion_correct_ch
75,ch,30,0.03571428571428571,0.0
75,ch,30,0.0,0.041666666666666664
75,ch,40,1.0,1.0
75,ch,40,1.0,1.0
75,ch,40,0.0,0.02702702702702703
75,ch,40,0.017857142857142856,0.05405405405405406
75,ch,40,0.017857142857142856,0.0
75,ch,40,0.017857142857142856,0.0
75,ch,40,1.0,1.0
75,ch,40,0.0,0.05405405405405406
75,ch,40,0.0,0.02702702702702703
75,ch,40,0.017857142857142856,0.02702702702702703
75,ch,40,1.0,1.0
75,ch,40,0.017857142857142856,0.02702702702702703
75,ch,40,0.017857142857142856,0.0
75,ch,40,1.0,1.0
75,ch,40,1.0,1.0
75,ch,40,0.017857142857142856,0.0
75,ch,40,1.0,1.0
75,ch,40,0.017857142857142856,0.0
75,ch,40,0.0,0.02702702702702703
75,ch,40,1.0,1.0
75,ch,50,1.0,1.0
75,ch,50,1.0,1.0
75,ch,50,0.017857142857142856,0.0
75,ch,50,0.017857142857142856,0.0
75,ch,50,1.0,1.0
75,ch,50,0.017857142857142856,0.0
75,ch,50,0.0,0.03571428571428571
75,ch,50,1.0,1.0
75,ch,50,0.0,0.017857142857142856
75,ch,50,0.03571428571428571,0.0
75,ch,50,1.0,1.0
75,ch,50,1.0,1.0
75,ch,50,1.0,1.0
75,ch,50,0.017857142857142856,0.0
75,ch,50,0.017857142857142856,0.017857142857142856
75,ch,50,1.0,1.0
75,ch,50,1.0,1.0
75,ch,50,0.0,0.017857142857142856
75,ch,50,1.0,1.0
75,ch,50,0.017857142857142856,0.0
75,cau,40,0.02702702702702703,0.017857142857142856
75,cau,40,0.05405405405405406,0.0
75,cau,40,0.08108108108108109,0.017857142857142856
75,cau,40,1.0,1.0
75,cau,40,0.0,0.017857142857142856
75,cau,40,0.02702702702702703,0.017857142857142856
75,cau,40,1.0,1.0
75,cau,40,1.0,1.0
75,cau,40,1.0,1.0
75,cau,40,1.0,1.0
75,cau,40,1.0,1.0
75,cau,40,0.0,0.017857142857142856
75,cau,40,0.0,0.03571428571428571
75,cau,40,0.02702702702702703,0.0
75,cau,40,0.05405405405405406,0.03571428571428571
75,cau,40,1.0,1.0
75,cau,40,1.0,1.0
75,cau,40,0.02702702702702703,0.017857142857142856
75,cau,40,0.02702702702702703,0.03571428571428571
75,cau,40,0.0,0.017857142857142856
75,cau,30,1.0,1.0
75,cau,30,1.0,1.0
75,cau,30,1.0,1.0
75,cau,30,0.0,0.017857142857142856
75,cau,30,0.041666666666666664,0.0
75,cau,30,1.0,1.0
75,cau,30,1.0,1.0
75,cau,30,0.0,0.017857142857142856
